Codigo,Descripcion,Existencias,Costo total
"-","Canastilla para freidora",1.0000,250000.00
"--","Manómetro de CO2",0.0000,0.00
"010201","Térmico  tipo moneda 90C",2.0000,33948.00
"013153","rrancador . C/METAL. 30-40 AMP",-5.0000,-1075000.00
"01480","Motor  Trifásico con Brida",0.0000,0.00
"01868","Motor Siemens Trif. 4.0 HP-1800 RPM-1LE0142",-107.0000,-69505060.00
"100437","VALVULA ESTUFA HUMCAR",-9.0000,-113067.00
"100729","Perilla válvula freidora",-135.0000,-2098710.00
"14271","Kit hc 900 door hinge Henny Penny		",-26.0000,-7290816.00
"14272","Chapa magnética  HC900",0.0000,0.00
"14332","Sensor de temperatura",0.0000,0.00
"15733","PULSADOR",1.0000,86000.00
"16-XADJ MINI","VÁLVULA FLOTADORA ",0.0000,0.00
"16129","Protector de fase 110 VOL.",2.0000,87396.00
"16199","Kit spring mod Henny Penny		",1.0000,102911.00
"16205","Quemador HP",0.0000,0.00
"16253","Regulador válvula de gas natural",-1.0000,-75581.00
"16293","CUBIERTA MANIJA",-1.0000,-5239.00
"16336","Codo quemador",0.0000,0.00
"16624","Light indicator 250v Henny Penny		",4.0000,70352.00
"16738-36","Hi-Limit control",0.0000,0.00
"16745","Plate Thermostat",0.0000,0.00
"16804","Grommet umbrella Henny Penny		",6.0000,58380.00
"16807","Conector male",-1.0000,-43784.00
"16809","Nut fitting Henny Penny		",0.0000,0.00
"16817","Fitting sleeve teflon Henny Penny		",0.0000,0.00
"16902","Ring Cap",6.0000,15204.00
"16910","Manómetro",1.0000,114886.00
"17013","Kit boquillas gas natural",0.0000,0.00
"17109","Spring retainer Henny Penny		",0.0000,0.00
"17112","Bonnet gasket Henny Penny		",2.0000,42662.00
"17214","MICRO SWITCH",0.0000,0.00
"17308","Valve assembly filter",0.0000,0.00
"17505","Clips envelope",2.0000,20208.00
"17614","Iman puerta HP",0.0000,0.00
"17618","Top hinge assy Henny Penny		",74095.0000,5490143120.00
"17620","Bottom hinge assy Henny Penny		",0.0000,0.00
"17624","Manija Puerta",0.0000,0.00
"18227","Micro switch drenaje HP",0.0000,0.00
"1950","Termopila",0.0000,0.00
"20559c","Malla Inox",1.0000,152500.00
"21992","Microswitch Palanca Corta",3.0000,7815.00
"2250003869","TABLÓN TUNEZ ROJO ABRAS 15X15",21.0000,11634.00
"2385","RETENEDOR",-2.0000,-16802.00
"25376","Reten",3.0000,25212.00
"25643","Gasket door Henny Penny		",0.0000,0.00
"25706","Fan cooling 3 1/2 inch hhc 900 903 Henny Penny		",4.0000,41912.00
"29729","Bobina válvula de gas S 24V",0.0000,0.00
"30133","TUBO LED 18 W ILUMAX  6500K VIDRIO",0.0000,0.00
"30405","Reten",6.0000,50418.00
"31016591","Regulador Trifásico 9 KVA AL",0.0000,0.00
"31403","SWITCH INTERRUPTOR  CODILLO ",1.0000,8300.00
"3511410100","TAPA EN POLIETILENO TMW 1100E",-2.0000,-62000.00
"3518003","MAGNETRÓN PARA  TMW",0.0000,0.00
"3518121","TRANSFORMADOR  110V",0.0000,0.00
"3518121780","TRANSFORMADOR DE HORNO MICROONDAS FRISBY",0.0000,0.00
"3518303610","Capacitor  TMW 2100CAV",0.0000,0.00
"4415A17352","MICRO SWITCH VP-16A 2 N/O",-1.0000,-17000.00
"4415A66600","MICRO SWITCH GSM-V1603A2 N/C",0.0000,0.00
"4415A66910","MICRO SWITCH 16A NO/NC 3 PATAS",1.0000,17000.00
"5090","Panel Celdek Para Enfriador Evaporativo 4x12x36",4.0000,827580.00
"51278","Resistencia HC900",0.0000,0.00
"5229","TAPA REGISTRO PALANCA TECH-PARED 60x30cm",1.0000,63277.00
"5300-71","Termostato KX 8736",0.0000,0.00
"55152","Válvula drenaje",0.0000,0.00
